first_name,second_name,element_type,total_points,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,bonus,ict_index,clean_sheets,cards_per_90,points_per_90
Keane,Lewis-Potter,MID,14,0,1,313,4,64.0,42.0,114.0,0,21.9,0,0.0,4.03
Thomas,Strakosha,GK,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Ben,Mee,DEF,143,3,2,3269,40,92.0,761.4,307.0,11,116.3,12,0.06,3.94
Fin,Stevens,DEF,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Halil,Dervişoğlu,FWD,4,0,1,6,0,0.0,0.0,10.0,0,1.0,0,0.0,0.0
Mikkel,Damsgaard,MID,33,0,0,970,14,161.0,137.4,146.0,0,44.5,3,0.37,3.06
Mathias,Jorgensen,DEF,45,0,1,1097,15,18.2,189.8,45.0,4,25.6,4,0.16,3.69
Ryan,Trevitt,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Matthew,Cox,GK,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Tristan,Crama,DEF,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Yegor,Yarmolyuk,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Kevin,Schade,MID,29,0,1,723,7,110.4,72.2,205.0,0,38.7,3,0.25,3.61
Michael,Olakigbe,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Adam,Lallana,MID,47,2,1,717,10,186.7,144.2,152.0,4,48.5,5,0.0,5.9
Jason,Steele,GK,65,0,1,1350,23,13.0,347.6,0.0,8,36.1,6,0.07,4.33
Danny,Welbeck,FWD,91,6,5,1844,28,390.6,378.2,782.0,5,155.4,6,0.0,4.44
Pascal,Groß,MID,159,9,8,3240,51,1215.4,888.4,578.0,14,268.6,11,0.19,4.42
Lewis,Dunk,DEF,112,1,1,3240,50,163.6,661.4,198.0,7,102.4,12,0.11,3.11
Solly,March,MID,147,6,10,2719,40,965.8,791.8,955.0,16,271.4,10,0.07,4.87
Adam,Webster,DEF,75,0,0,1983,27,104.0,354.0,126.0,3,58.4,9,0.09,3.4
